DATE,RRPONTSYD
2018-07-25,0.72
2018-08-01,0.795
2018-08-08,1.659
2018-08-15,0.315
2018-08-22,1.126
2018-08-29,0.84
2018-09-05,0.01
2018-09-12,1.315
2018-09-19,8.915
2018-09-26,5.625
2018-10-03,2.954
2018-10-10,2.39
2018-10-17,0.174
2018-10-24,6.444
2018-10-31,4.815
2018-11-07,1.875
2018-11-14,0.66
2018-11-21,16.205
2018-11-28,1.464
2018-12-05,2.21
2018-12-12,0.461
2018-12-19,5.982
2018-12-26,1.005
2019-01-02,19.481
2019-01-09,2.537
2019-01-16,1.316
2019-01-23,11.415
2019-01-30,0.99
2019-02-06,1.926
2019-02-13,1.697
2019-02-20,2.275
2019-02-27,1.915
2019-03-06,2.115
2019-03-13,0.016
2019-03-20,0.617
2019-03-27,0.166
2019-04-03,0.016
2019-04-10,2.731
2019-04-17,0.015
2019-04-24,9.515
2019-05-01,0.027
2019-05-08,0.021
2019-05-15,0.46
2019-05-22,3.751
2019-05-29,2.226
2019-06-05,2.255
2019-06-12,1.705
2019-06-19,22.357
2019-06-26,7.784
2019-07-03,6.849
2019-07-10,6.252
2019-07-17,1.96
2019-07-24,8.255
2019-07-31,7.367
2019-08-07,3.622
2019-08-14,2.744
2019-08-21,15.153
2019-08-28,4.255
2019-09-04,1.425
2019-09-11,3.612
2019-09-18,18.91
2019-09-25,0.133
2019-10-02,3.054
2019-10-09,1.469
2019-10-16,1.803
2019-10-23,18.29
2019-10-30,0.196
2019-11-06,1.65
2019-11-13,1.762
2019-11-20,26.026
2019-11-27,0.506
2019-12-04,0.0
2019-12-11,0.605
2019-12-18,13.362
2019-12-25,4.423
2020-01-01,64.087
2020-01-08,0.876
2020-01-15,0.675
2020-01-22,15.604
2020-01-29,0.3
2020-02-05,4.112
2020-02-12,0.309
2020-02-19,0.095
2020-02-26,2.3
2020-03-04,5.025
2020-03-11,1.325
2020-03-18,0.477
2020-03-25,97.411
2020-04-01,207.828
2020-04-08,53.483
2020-04-15,3.15
2020-04-22,10.825
2020-04-29,1.45
2020-05-06,1.175
2020-05-13,13.825
2020-05-20,9.726
2020-05-27,4.326
2020-06-03,0.013
2020-06-10,0.012
2020-06-17,0.001
2020-06-24,0.001
2020-07-01,0.002
2020-07-08,0.001
2020-07-15,0.001
2020-07-22,0.0
2020-07-29,0.001
2020-08-05,0.0
2020-08-12,0.103
2020-08-19,0.112
2020-08-26,0.009
2020-09-02,0.014
2020-09-09,0.001
2020-09-16,0.055
2020-09-23,0.001
2020-09-30,0.85
2020-10-07,0.011
2020-10-14,0.0
2020-10-21,0.0
2020-10-28,0.005
2020-11-04,0.0
2020-11-11,0.0
2020-11-18,0.0
2020-11-25,0.0
2020-12-02,0.001
2020-12-09,0.003
2020-12-16,0.026
2020-12-23,0.857
2020-12-30,0.652
2021-01-06,0.004
2021-01-13,0.0
2021-01-20,1.806
2021-01-27,1.152
2021-02-03,0.178
2021-02-10,0.0
2021-02-17,0.05
2021-02-24,0.001
2021-03-03,0.507
2021-03-10,0.1
2021-03-17,0.0
2021-03-24,21.902
2021-03-31,134.307
2021-04-07,35.035
2021-04-14,50.856
2021-04-21,81.329
2021-04-28,166.732
2021-05-05,162.8
2021-05-12,209.257
2021-05-19,293.998
2021-05-26,450.283
2021-06-02,438.778
2021-06-09,502.904
2021-06-16,520.942
2021-06-23,813.65
2021-06-30,991.939
2021-07-07,785.72
2021-07-14,859.975
2021-07-21,886.206
2021-07-28,965.189
2021-08-04,931.755
2021-08-11,1000.46
2021-08-18,1115.656
2021-08-25,1147.089
2021-09-01,1084.115
2021-09-08,1115.229
2021-09-15,1081.342
2021-09-22,1283.281
2021-09-29,1415.84
2021-10-06,1451.175
2021-10-13,1364.701
2021-10-20,1493.961
2021-10-27,1433.37
2021-11-03,1343.985
2021-11-10,1448.623
2021-11-17,1520.0
2021-11-24,1452.897
2021-12-01,1427.347
2021-12-08,1484.192
2021-12-15,1621.097
2021-12-22,1699.277
2021-12-29,1642.506
2022-01-05,1492.787
2022-01-12,1536.981
2022-01-19,1656.576
2022-01-26,1613.046
2022-02-02,1626.895
2022-02-09,1653.153
2022-02-16,1644.134
2022-02-23,1738.322
2022-03-02,1526.211
2022-03-09,1542.504
2022-03-16,1613.637
2022-03-23,1803.186
2022-03-30,1785.939
2022-04-06,1731.472
2022-04-13,1815.555
2022-04-20,1866.56
2022-04-27,1803.162
2022-05-04,1815.656
2022-05-11,1876.119
2022-05-18,1973.373
2022-05-25,1995.75
2022-06-01,1965.015
2022-06-08,2140.277
2022-06-15,2162.924
2022-06-22,2259.458
2022-06-29,2226.976
2022-07-06,2168.026
2022-07-13,2155.29
2022-07-20,2240.204
2022-07-27,2188.994
2022-08-03,2182.238
2022-08-10,2177.646
2022-08-17,2199.631
2022-08-24,2237.072
2022-08-31,2251.025
2022-09-07,2206.987
2022-09-14,2225.579
2022-09-21,2315.9
2022-09-28,2366.798
2022-10-05,2230.799
2022-10-12,2247.206
2022-10-19,2241.835
2022-10-26,2186.856
2022-11-02,2229.861
2022-11-09,2237.812
2022-11-16,2099.07
2022-11-23,2069.174
2022-11-30,2115.913
2022-12-07,2151.549
2022-12-14,2192.864
2022-12-21,2206.965
2022-12-28,2293.003
2023-01-04,2229.542
2023-01-11,2199.17
2023-01-18,2131.678
2023-01-25,2031.561
2023-02-01,2038.262
2023-02-08,2059.604
2023-02-15,2011.998
2023-02-22,2113.849
2023-03-01,2133.95
2023-03-08,2193.237
2023-03-15,2055.823
2023-03-22,2279.608
2023-03-29,2264.862
2023-04-05,2243.011
2023-04-12,2303.862
2023-04-19,2294.677
2023-04-26,2279.561
2023-05-03,2258.222
2023-05-10,2233.149
2023-05-17,2213.676
2023-05-24,2250.709
2023-05-31,2254.859
2023-06-07,2161.556
2023-06-14,2109.105
2023-06-21,2037.102
2023-06-28,1945.211
2023-07-05,1867.061
2023-07-12,1820.146
2023-07-19,1716.862
